	Name	Diam	Class	H	time
484	2014 NL52	0.057	S*	23.6	-1
485	2015 RH36	0.057	S*	23.6	-1
486	2008 TT26	0.057	S*	23.6	-1
487	2000 WS28	0.057	S*	23.6	-1
488	2016 TD18	0.057	S*	23.6	-1
489	2015 HM10	0.057	S*	23.6	-1
490	2008 VH14	0.057	S*	23.6	-1
491	2014 WE121	0.057	S*	23.6	-1
492	2017 YF7	0.057	S*	23.6	-1
493	2014 WO69	0.057	S*	23.6	-1
494	1999 TN13	0.057	S*	23.6	-1
495	2015 HB117	0.057	S*	23.6	-1
496	2007 RQ12	0.057	S*	23.6	-1
497	2016 PP27	0.057	S*	23.6	-1
498	2006 UA216	0.057	S*	23.6	-1
499	2010 AE30	0.057	S*	23.6	-1
500	2011 QU37	0.057	S*	23.6	-1
501	2007 VE191	0.057	S*	23.6	-1
502	2015 OV	0.057	S*	23.6	-1
503	2019 CE5	0.055	S*	23.66	-1
504	2015 TM143	0.055	S*	23.66	-1
505	2010 VK139	0.055	S*	23.65	-1
506	2017 HV3	0.054	S*	23.7	-1
507	2000 WJ107	0.054	S*	23.7	-1
508	2015 FG36	0.054	S*	23.7	-1
509	2016 CB138	0.054	S*	23.7	-1
510	2008 XC1	0.054	S*	23.7	-1
511	2013 PH3	0.054	S*	23.7	-1
512	2018 XA	0.054	S*	23.7	-1
513	2016 HP3	0.054	S*	23.7	-1
514	2015 PK9	0.054	S*	23.7	-1
515	2004 GD	0.054	S*	23.7	-1
516	2021 GJ3	0.054	S*	23.7	-1
517	2001 XU4	0.054	S*	23.7	-1
518	2000 YA	0.054	S*	23.7	-1
519	2016 ED	0.054	S*	23.7	-1
520	2016 FX2	0.054	S*	23.7	-1
521	2014 UC115	0.054	S*	23.7	-1
522	2014 YZ8	0.054	S*	23.7	-1
523	2010 JJ3	0.054	S*	23.7	-1
524	2004 EU22	0.054	S*	23.7	-1
525	2013 YS2	0.054	S*	23.7	-1
526	2012 BF14	0.054	S*	23.7	-1
527	2001 CP36	0.054	S*	23.7	-1
528	2017 BM123	0.052	S*	23.8	-1
529	2017 QK	0.052	S*	23.8	-1
530	2007 WU3	0.052	S*	23.8	-1
531	2012 HH31	0.052	S*	23.8	-1
532	2005 ES70	0.052	S*	23.8	-1
533	2015 KV18	0.052	S*	23.8	-1
534	2018 GE3	0.052	S*	23.8	-1
535	2016 HQ19	0.052	S*	23.8	-1
536	2011 SP26	0.052	S*	23.8	-1
537	2015 XM128	0.052	S*	23.8	-1
538	2008 DG4	0.052	S*	23.8	-1
539	2014 YU41	0.052	S*	23.8	-1
540	2010 FK	0.052	S*	23.8	-1
541	2014 RF11	0.052	S*	23.8	-1
542	2000 EB14	0.051	S*	23.81	-1
543	2021 DX1	0.051	S*	23.84	-1
544	2011 PT	0.049	S*	23.9	-1
545	2016 RT33	0.049	S*	23.9	-1
546	2010 HA	0.049	S*	23.9	-1
547	2010 JO71	0.049	S*	23.9	-1
548	2006 KS38	0.049	S*	23.9	-1
549	2014 FR52	0.049	S*	23.9	-1
550	2015 AA44	0.049	S*	23.9	-1
551	2014 BR57	0.049	S*	23.9	-1
552	2015 SO2	0.049	S*	23.9	-1
553	2008 UP100	0.049	S*	23.9	-1
554	2015 PT227	0.049	S*	23.9	-1
555	2010 TG19	0.049	S*	23.9	-1
556	2016 NK39	0.049	S*	23.9	-1
557	2011 XD1	0.049	S*	23.9	-1
