Name	Diam	type	PHA	search?
2014 JR25	0.065	Apollo	Near	True
2014 KA91	0.024	Apollo	Near	True
2014 KH39	0.017	Apollo	Near	True
2014 KL22	0.036	Amor	Near	True
2014 KO76	0.049	Apollo	Near	True
2014 KQ84	0.014	Amor	Near	True
2014 MD6	0.149	Amor	Near	True
2014 MF18	0.018	Aten	Near	True
2014 MP5	0.13	Amor	Potentially	True
2014 MS5	0.086	Apollo	Near	True
2014 NE63	0.13	Amor	Near	True
2014 NL52	0.057	Apollo	Near	True
2014 NM64	0.09	Amor	Near	True
2014 OL339	0.078	Aten	Near	True
2014 OT111	0.136	Apollo	Potentially	True
2014 OT338	0.156	Amor	Near	True
2014 OV3	0.068	Apollo	Near	True
2014 OZ337	0.094	Apollo	Near	True
2014 QK362	0.142	Apollo	Near	True
2014 QO33	0.142	Amor	Near	True
2014 QQ33	0.113	Amor	Near	True
2014 QT295	0.02	Apollo	Near	True
2014 QV295	0.031	Amor	Near	True
2014 RC	0.013	Apollo	Near	True
2014 RF11	0.052	Amor	Near	True
2014 RH12	0.059	Amor	Near	True
2014 RQ17	0.103	Apollo	Near	True
2014 SB145	0.016	Apollo	Near	True
2014 SC324	0.041	Apollo	Near	True
2014 SF145	0.089	Amor	Near	True
2014 SF304	0.01	Apollo	Near	True
2014 SO142	0.039	Apollo	Near	True
2014 SS1	0.136	Amor	Potentially	True
2014 SU1	0.028	Apollo	Near	True
2014 SU260	0.13	Apollo	Near	True
2014 SV141	0.142	Amor	Potentially	True
2014 SX261	0.094	Apollo	Near	True
2014 SZ144	0.026	Apollo	Near	True
2014 TJ17	0.031	Amor	Near	True
2014 TL17	0.078	Apollo	Near	True
2014 TM34	0.03	Amor	Near	True
2014 TN17	0.149	Apollo	Potentially	True
2014 TP57	0.017	Amor	Near	True
2014 TR57	0.027	Amor	Near	True
2014 TT35	0.019	Apollo	Near	True
2014 TV	0.039	Apollo	Near	True
2014 TZ	0.09	Amor	Near	True
2014 TZ17	0.086	Amor	Near	True
2014 UA176	0.014	Apollo	Near	True
2014 UC115	0.054	Amor	Near	True
2014 UD57	0.021	Apollo	Near	True
2014 UG176	0.149	Apollo	Near	True
2014 UN114	0.032	Aten	Near	True
2014 UR	0.014	Aten	Near	True
2014 UT33	0.062	Apollo	Near	True
2014 UV115	0.086	Apollo	Near	True
2014 UV210	0.012	Amor	Near	True
2014 UX7	0.023	Amor	Near	True
2014 UY	0.026	Apollo	Near	True
2014 UY7	0.033	Amor	Near	True
2014 VG2	0.086	Apollo	Near	True
2014 VH2	0.151	Amor	Near	True
2014 VL6	0.157	Apollo	Potentially	True
2014 VP	0.082	Apollo	Near	True
2014 VP35	0.065	Apollo	Near	True
2014 WA366	0.012	Apollo	Near	True
2014 WB366	0.033	Apollo	Near	True
2014 WC201	0.017	Apollo	Near	True
2014 WE120	0.045	Apollo	Near	True
2014 WE121	0.057	Amor	Near	True
2014 WF201	0.023	Apollo	Near	True
2014 WJ201	0.033	Amor	Near	True
2014 WK368	0.156	Apollo	Potentially	True
2014 WO69	0.057	Amor	Near	True
2014 WP4	0.041	Amor	Near	True
2014 WQ201	0.086	Amor	Near	True
2014 WR6	0.026	Amor	Near	True
2014 WS7	0.01	Apollo	Near	True
2014 WU200	0.004	Apollo	Near	True
2014 WX202	0.004	Apollo	Near	True
2014 WX4	0.016	Apollo	Near	True
2014 WY119	0.016	Apollo	Near	True
2014 WZ4	0.059	Amor	Near	True
2014 XF32	0.119	Amor	Near	True
2014 YC	0.108	Amor	Near	True
2014 YD	0.041	Apollo	Near	True
2014 YD42	0.108	Apollo	Near	True
2014 YN	0.022	Aten	Near	True
2014 YT34	0.034	Apollo	Near	True
2014 YU41	0.052	Amor	Near	True
2014 YW34	0.136	Apollo	Potentially	True
2014 YZ8	0.054	Apollo	Near	True
2015 AA44	0.049	Apollo	Near	True
2015 AF44	0.019	Apollo	Near	True
2015 AK1	0.041	Apollo	Near	True
2015 AK280	0.13	Apollo	Near	True
2015 AK45	0.016	Apollo	Near	True
2015 AN44	0.027	Amor	Near	True
2015 AP44	0.017	Apollo	Near	True
2015 AZ43	0.059	Apollo	Near	True
2015 BD	0.047	Apollo	Near	True
2015 BF511	0.033	Apollo	Near	True
2015 BG92	0.028	Apollo	Near	True
2015 BK	0.148	Amor	Near	True
2015 BK4	0.031	Apollo	Near	True
2015 BK509	0.086	Apollo	Near	True
2015 BM510	0.028	Aten	Near	True
2015 BW310	0.118	Apollo	Potentially	True
2015 BY516	0.103	Apollo	Near	True
2015 BZ310	0.147	Apollo	Potentially	True
2015 CB1	0.024	Amor	Near	True
2015 CD1	0.007	Apollo	Near	True
2015 CF	0.059	Amor	Near	True
2015 CG	0.023	Apollo	Near	True
2015 CM	0.018	Amor	Near	True
2015 CN13	0.065	Apollo	Near	True
2015 CO	0.017	Amor	Near	True
2015 CQ13	0.022	Apollo	Near	True
2015 CS	0.016	Apollo	Near	True
2015 CW12	0.075	Amor	Near	True
2015 CW13	0.078	Apollo	Near	True
2015 CZ12	0.025	Apollo	Near	True
2015 DC54	0.018	Apollo	Near	True
2015 DK200	0.023	Apollo	Near	True
2015 DO215	0.014	Apollo	Near	True
2015 DP155	0.142	Amor	Potentially	True
2015 DP53	0.039	Apollo	Near	True
2015 DS	0.031	Amor	Near	True
2015 DS53	0.043	Apollo	Near	True
2015 DT	0.067	Apollo	Near	True
2015 DU	0.016	Amor	Near	True
2015 DX198	0.113	Amor	Near	True
2015 DZ198	0.036	Apollo	Near	True
2015 EF	0.013	Apollo	Near	True
2015 EG	0.023	Aten	Near	True
2015 EK	0.016	Apollo	Near	True
2015 EL7	0.086	Amor	Near	True
