Name	Diam	Class	H	time
2020 KK7	0.017	S*	26.2	-1
2020 OH3	0.035	S*	24.65	-1
2020 RA6	0.019	S*	26.0	-1
2020 RO6	0.098	S*	22.4	-1
2020 RZ6	0.015	S*	26.54	-1
2020 SN	0.033	S*	24.8	-1
2020 ST1	0.118	S*	22.0	-1
2020 SW	0.005	S*	29.06	-1
2020 TB12	0.098	S*	22.41	-1
2020 TD8	0.012	S*	26.9	-1
2020 TG3	0.086	S*	22.68	-1
2020 TP1	0.014	S*	26.71	-1
2020 UA	0.006	S*	28.44	-1
2020 UQ6	0.086	S*	22.7	-1
2020 UZ5	0.094	S*	22.51	-1
2020 VZ6	0.03	S*	25.0	-1
2020 XX3	0.006	S*	28.48	-1
2020 YA5	0.038	S*	24.44	-1
2020 YE5	0.021	S*	25.75	-1
2021 AU	0.04	S*	24.35	-1
2021 AZ	0.041	S*	24.3	-1
2021 CC2	0.076	S*	22.96	-1
2021 CO	0.026	S*	25.28	-1
2021 DP	0.014	S*	26.56	-1
2021 DW1	0.03	S*	24.8	-1
2021 DX1	0.051	S*	23.84	-1
2021 EB1	0.058	S*	23.56	-1
2021 EL4	0.02	S*	25.88	-1
2020 GF2	0.019	S*	26.0	-1
2020 DP4	0.026	S*	25.31	-1
2020 DM4	0.142	S*	21.61	-1
2019 NJ5	0.063	S*	23.36	-1
2018 XY2	0.092	S*	22.54	-1
2019 AW4	0.152	S*	21.45	-1
2019 BE5	0.028	S*	25.1	-1
2019 BF5	0.112	S*	21.67	-1
2019 BG1	0.073	S*	23.04	-1
2019 CD5	0.112	S*	22.12	-1
2019 CE5	0.055	S*	23.66	-1
2019 DN	0.083	S*	22.77	-1
2019 EA2	0.021	S*	25.8	-1
2019 FP2	0.108	S*	22.2	-1
2019 JX7	0.149	S*	21.5	-1
2019 KZ3	0.043	S*	24.2	-1
2019 MB4	0.019	S*	26.0	-1
2019 NN3	0.034	S*	24.7	-1
2020 DD	0.059	S*	23.5	-1
2019 OM	0.09	S*	22.6	-1
2019 RC	0.13	S*	21.8	-1
2019 UC	0.044	S*	24.15	-1
2019 UD13	0.059	S*	23.5	-1
2019 UD4	0.069	S*	23.18	-1
2019 UN12	0.12	S*	21.96	-1
