,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
44,91,1.225286,-10.274018,2.6989499600e+02,6.3983901000e+01,269.8948576,63.9842359,17h59m34.77s,63d59m03.25s,1.5044,1.7124,0.3191,17.049,null,null,1.239e+00,15.608,null,null,1.428e+00,10.708,0.300,3.6,1.514e+00,7.604,null,0.7,6.553e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.495599,null,null,null,null,null,null,null
45,92,0.178409,-87.339880,2.6990803100e+02,6.3968171000e+01,269.9079182,63.9681733,17h59m37.90s,63d58m05.42s,1.6037,1.9864,0.0979,16.826,null,0.8,1.075e+00,15.774,0.542,2.0,7.072e-01,10.588,0.235,4.6,1.140e+00,7.727,null,0.5,6.904e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55270.561560,null,null,null,null,null,null,null
46,94,0.779167,73.243102,2.6993433900e+02,6.3937084000e+01,269.9348107,63.9371464,17h59m44.35s,63d56m13.73s,1.2057,1.3884,-0.1064,17.236,null,null,2.577e+00,15.838,null,null,1.061e+00,10.407,0.207,5.3,1.082e+00,7.936,null,null,8.339e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.693991,null,null,null,null,null,null,null
47,95,2.507310,63.468619,2.6994742700e+02,6.3921505000e+01,269.9488445,63.9218161,17h59m47.72s,63d55m18.54s,1.5623,1.8908,-0.2360,17.203,null,null,1.067e+00,15.902,null,null,1.158e+00,10.565,0.220,4.9,7.771e-01,7.614,null,0.8,1.001e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.760207,null,null,null,null,null,null,null
48,96,2.515089,-1.489079,2.6994752000e+02,6.3921619000e+01,269.9474787,63.9223174,17h59m47.39s,63d55m20.34s,1.3930,1.5582,0.2847,16.659,0.377,2.9,9.484e-01,15.776,null,0.2,7.787e-01,10.891,0.276,3.9,5.774e-01,7.282,null,1.9,1.154e+00,2,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55270.760334,null,null,null,null,null,null,null
49,97,3.552998,108.366752,2.6996037300e+02,6.3905781000e+01,269.9625025,63.9054700,17h59m51.00s,63d54m19.69s,1.1971,1.3938,0.2794,16.537,0.380,2.9,8.106e-01,15.569,null,0.4,5.813e-01,10.443,0.201,5.4,8.231e-01,7.454,null,1.0,1.977e+00,2,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55270.826295,null,null,null,null,null,null,null
50,98,0.744753,-105.073373,2.6997345900e+02,6.3890256000e+01,269.9730051,63.8902022,17h59m53.52s,63d53m24.73s,1.8360,2.0842,0.4477,17.052,null,0.2,6.081e-01,15.659,null,0.4,1.141e+00,10.777,0.256,4.2,7.291e-01,7.412,null,1.4,8.901e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55270.892638,null,null,null,null,null,null,null
51,101,0.934024,68.425946,2.7003736500e+02,6.3811186000e+01,270.0379117,63.8112814,18h00m09.10s,63d48m40.61s,1.4187,1.6745,0.1333,16.861,null,0.0,7.432e-01,15.821,null,null,5.655e-01,10.476,0.204,5.3,9.711e-01,7.395,null,1.6,5.903e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.223207,null,null,null,null,null,null,null
52,103,2.070346,-60.074026,2.7006275600e+02,6.3779543000e+01,270.0616279,63.7798299,18h00m14.79s,63d46m47.39s,1.9261,2.2069,-0.4537,17.087,null,null,1.070e+00,15.272,null,0.9,8.364e-01,10.703,0.259,4.2,1.367e+00,7.986,null,null,1.679e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.355638,null,null,null,null,null,null,null
53,104,1.150282,-144.367739,2.7010050100e+02,6.3731858000e+01,270.1000804,63.7315983,18h00m24.02s,63d43m53.75s,1.2788,1.4501,0.3075,16.915,null,null,8.382e-01,15.827,null,null,6.898e-01,10.423,0.185,5.9,8.519e-01,7.324,null,1.7,1.189e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.554285,null,null,null,null,null,null,null
54,107,3.655104,142.425561,2.7013757300e+02,6.3683568000e+01,270.1389695,63.6827633,18h00m33.35s,63d40m57.95s,1.4373,1.7510,0.1320,17.135,null,null,7.504e-01,15.808,null,null,1.004e+00,10.521,0.225,4.8,5.882e-01,7.906,null,null,9.248e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.752550,null,null,null,null,null,null,null
55,109,1.585239,-160.388375,2.7016215600e+02,6.3651342000e+01,270.1618230,63.6509272,18h00m38.84s,63d39m03.34s,1.2225,1.4718,0.1523,16.923,null,0.2,6.371e-01,15.328,0.343,3.2,1.083e+00,10.385,0.182,6.0,7.788e-01,8.032,null,0.0,1.664e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55271.884854,null,null,null,null,null,null,null
56,110,2.003554,175.464518,2.7017451100e+02,6.3635356000e+01,270.1746101,63.6348012,18h00m41.91s,63d38m05.28s,1.3255,1.5045,-0.2325,16.665,0.387,2.8,1.431e+00,15.122,0.323,3.4,7.254e-01,10.904,0.304,3.6,1.145e+00,7.688,null,0.8,1.284e+00,1,0,0.000,0.000,0.000,0.000,0000,CBBU,1,55271.951197,null,null,null,null,null,null,null
57,112,0.745735,178.757896,2.7019882500e+02,6.3602947000e+01,270.1988351,63.6027399,18h00m47.72s,63d36m09.86s,1.5286,1.7896,-0.1922,16.483,null,1.6,9.696e-01,15.436,0.398,2.7,1.408e+00,10.855,0.280,3.9,1.440e+00,7.694,null,0.6,1.411e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55272.083501,null,null,null,null,null,null,null
58,113,1.327481,89.735480,2.7019891200e+02,6.3603063000e+01,270.1997414,63.6030647,18h00m47.94s,63d36m11.03s,1.6462,1.8545,-0.0586,16.661,null,1.2,9.280e-01,15.559,0.429,2.5,8.624e-01,10.972,0.302,3.6,7.038e-01,7.540,null,1.0,1.348e+00,1,0,0.000,0.000,0.000,0.000,D000,UCBU,1,55272.083629,null,null,null,null,null,null,null
59,115,1.999205,109.239787,2.7023492300e+02,6.3554046000e+01,270.2361003,63.5538630,18h00m56.66s,63d33m13.91s,1.5936,1.9171,-0.1683,16.962,null,null,1.195e+00,15.676,null,null,6.330e-01,10.615,0.225,4.8,1.241e+00,7.589,null,0.6,6.871e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55272.281894,null,null,null,null,null,null,null
60,116,0.299433,141.065995,2.7024701100e+02,6.3537878000e+01,270.2471283,63.5378133,18h00m59.31s,63d32m16.13s,1.2535,1.3929,-0.3117,16.269,0.286,3.8,1.101e+00,14.992,null,1.8,4.752e-01,10.915,0.296,3.7,1.181e+00,7.823,null,null,5.232e-01,2,0,0.000,0.000,0.000,0.000,0000,BUBU,1,55272.348237,null,null,null,null,null,null,null
61,118,0.295165,165.842511,2.7029441200e+02,6.3472187000e+01,270.2944569,63.4721075,18h01m10.67s,63d28m19.59s,2.6224,3.0427,0.6688,17.195,null,null,1.194e+00,15.759,null,null,9.877e-01,10.272,null,2.0,7.549e-01,5.486,null,null,2.874e+00,1,0,0.000,0.000,0.000,0.000,0000,UUUU,1,55272.612845,null,null,null,null,null,null,null
62,119,3.176135,-160.314804,2.7030611100e+02,6.3455627000e+01,270.3054460,63.4547963,18h01m13.31s,63d27m17.27s,1.6260,1.7279,-0.3102,16.955,0.468,2.3,9.500e-01,15.839,null,null,1.178e+00,10.801,null,1.9,9.402e-01,7.367,0.350,3.1,5.963e-01,1,0,0.000,0.000,0.000,0.000,0000,CUUB,1,55272.678933,null,null,null,null,null,null,null
